dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
283996800,1979-01-01 00:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.81,,6.89,9.81,9.09,10.76,1017,,,82,1.21,69,,,,,,6,800,Clear,sky is clear,01n
284000400,1979-01-01 01:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.38,,6.99,9.06,8.53,10.3,1017,,,85,1.39,62,,,,,,3,800,Clear,sky is clear,01n
284004000,1979-01-01 02:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,8.84,,6.96,8.35,7.86,9.76,1017,,,88,1.48,56,,,,,,5,800,Clear,sky is clear,01n
284007600,1979-01-01 03:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,12.41,,9.06,11.8,11.36,13.28,1018,,,80,1.4,50,,,,,,12,801,Clouds,few clouds,02n
284011200,1979-01-01 04:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,12.96,,9.78,12.43,11.76,14.09,1018,,,81,1.26,46,,,,,,11,801,Clouds,few clouds,02d
284014800,1979-01-01 05:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,14.26,,7.55,13.41,13.27,15.4,1019,,,64,0.75,91,,,,,,15,801,Clouds,few clouds,02d
284018400,1979-01-01 06:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,14.79,10000,0.62,13.32,13.86,15.27,1019,,,38,4.1,100,,,,,,0,800,Clear,sky is clear,01d
284022000,1979-01-01 07:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,16.01,,6.17,15.02,14.88,17.23,1018,,,52,2.53,122,,,,,,12,801,Clouds,few clouds,02d
284025600,1979-01-01 08:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,16.55,,5.81,15.54,15.51,17.7,1017,,,49,2.8,124,,,,,,12,801,Clouds,few clouds,02d
284029200,1979-01-01 09:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,20.68,,6.25,19.82,19.8,21.8,1015,,,39,2.6,127,,,,,,36,802,Clouds,scattered clouds,03d
284032800,1979-01-01 10:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,23.21,,6.5,22.47,22.29,24.33,1014,,,34,2.56,133,,,,,,48,802,Clouds,scattered clouds,03d
284036400,1979-01-01 11:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,23.7,,6.49,22.99,22.68,24.89,1012,,,33,2.77,140,,,,,,48,802,Clouds,scattered clouds,03d
284040000,1979-01-01 12:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,23.87,,6.19,23.15,22.83,25.15,1011,,,32,3.25,144,,,,,,47,802,Clouds,scattered clouds,03d
284043600,1979-01-01 13:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,23.3,,6.57,22.57,22.38,24.27,1011,,,34,3.75,143,,,,,,48,802,Clouds,scattered clouds,03d
284047200,1979-01-01 14:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,22.38,,7.38,21.67,21.52,23.23,1012,,,38,4.76,141,,,,,,1,800,Clear,sky is clear,01d
284050800,1979-01-01 15:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,17.64,,6.2,16.69,16.94,18.2,1012,,,47,4.22,134,,,,,,22,801,Clouds,few clouds,02d
284054400,1979-01-01 16:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,15.92,,6.09,14.93,15.22,16.58,1014,,,52,3.25,118,,,,,,36,802,Clouds,scattered clouds,03n
284058000,1979-01-01 17:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,14.26,,6.12,13.26,13.53,14.68,1015,,,58,2,98,,,,,,32,802,Clouds,scattered clouds,03n
284061600,1979-01-01 18:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,13.08,,6.43,12.11,12.06,13.7,1016,,,64,2.02,81,,,,,,27,802,Clouds,scattered clouds,03n
284065200,1979-01-01 19:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,12.25,,6.31,11.28,11.31,13.1,1017,,,67,2.17,72,,,,,,21,801,Clouds,few clouds,02n
284068800,1979-01-01 20:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,11.44,,6.17,10.47,10.58,12.1,1017,,,70,2.09,76,,,,,,16,801,Clouds,few clouds,02n
284072400,1979-01-01 21:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,11.01,,6.36,10.07,9.89,11.75,1017,,,73,2.14,90,,,,,,15,801,Clouds,few clouds,02n
284076000,1979-01-01 22:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.52,,5.51,8.8,8.64,10.15,1017,,,76,1.81,104,,,,,,17,801,Clouds,few clouds,02n
284079600,1979-01-01 23:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.13,,5.32,8.46,8.42,9.8,1017,,,77,1.69,100,,,,,,25,802,Clouds,scattered clouds,03n
284083200,1979-01-02 00:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.05,,5.05,8.64,8.44,9.88,1016,,,76,1.43,85,,,,,,20,801,Clouds,few clouds,02n
284086800,1979-01-02 01:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.08,,5.08,9.08,8.46,9.91,1016,,,76,1.25,76,,,,,,28,802,Clouds,scattered clouds,03n
284090400,1979-01-02 02:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,9.11,,5.3,9.11,8.4,9.9,1017,,,77,1.21,72,,,,,,29,802,Clouds,scattered clouds,03n
284094000,1979-01-02 03:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,12.36,,8.83,11.71,11.68,13.09,1017,,,79,1.08,72,,,,,,22,801,Clouds,few clouds,02n
284097600,1979-01-02 04:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,11.61,,8.46,10.94,10.77,12.39,1018,,,81,1.15,76,,,,,,11,801,Clouds,few clouds,02d
284101200,1979-01-02 05:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,14.04,,6.64,13.09,13.12,15.08,1018,,,61,0.9,99,,,,,,3,800,Clear,sky is clear,01d
284104800,1979-01-02 06:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,15.39,10000,1.16,13.98,14.83,16.16,1018,,,38,5.1,90,,,,,,20,801,Clouds,few clouds,02d
284108400,1979-01-02 07:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,15.73,,4.46,14.59,14.59,16.95,1017,,,47,2.36,127,,,,,,5,800,Clear,sky is clear,01d
284112000,1979-01-02 08:00:00 +0000 UTC,10800,Addis Ababa,9.019194,38.752463,16.12,,4.51,14.99,15.03,17.32,1016,,,46,2.52,134,,,,,,2,800,Clear,sky is clear,01d
